Name, Latitude, Longitude
International Business College-Fort Wayne, 41.0805° N, 85.1584° W
International Business College-Indianapolis, 39.8827° N, 86.1297° W
ITT Technical Institute-Nashville, 36.0800° N, 86.6949° W
ITT Technical Institute-Fort Wayne, 41.0996° N, 85.1428° W
ITT Technical Institute-Indianapolis, 39.8231° N, 86.2392° W
Manchester University, 41.0051° N, 85.4022° W
Marian University, 39.8407° N, 86.1710° W
Indiana Wesleyan University, 40.4159° N, 85.6194° W
University of Notre Dame, 41.7022° N, 86.2378° W
Oakland City University, 38.3364° N, 87.3433° W
Purdue University-Calumet Campus, 41.5693° N, 87.5031° W
Purdue University-North Central Campus, 41.5592° N, 86.7697° W
Rose-Hulman Institute of Technology, 39.4749° N, 87.3250° W
University of Saint Francis-Fort Wayne, 41.0696° N, 85.1266° W
Saint Josephs College, 40.7453° N, 87.0517° W
Saint Mary-of-the-Woods College, 39.5055° N, 87.4155° W
Saint Mary's College, 41.7154° N, 86.2456° W
Saint Elizabeth School of Nursing, 40.4356° N, 86.9236° W
Taylor University, 40.4466° N, 85.5006° W
Trine University, 41.5426° N, 85.0326° W
Valparaiso University, 41.4637° N, 87.0431° W
Allen College, 42.5303° N, 92.3401° W
AIB College of Business, 41.5620° N, 93.6456° W
Buena Vista University, 42.6410° N, 95.2097° W
Central College, 41.4030° N, 92.9258° W
Clarke University, 42.5094° N, 90.6914° W
Coe College, 41.9884° N, 91.6590° W
Cornell College, 41.9263° N, 91.4251° W
Divine Word College, 42.4417° N, 90.9347° W
Dordt College, 43.0825° N, 96.1664° W
Drake University, 41.6031° N, 93.6546° W
University of Dubuque, 42.4954° N, 90.6953° W
Faith Baptist Bible College and Theological Seminary, 41.7367° N, 93.6246° W
Graceland University-Lamoni, 40.6164° N, 93.9263° W
Grand View University, 41.6206° N, 93.6005° W
Grinnell College, 41.7492° N, 92.7201° W
UnityPoint Health-Des Moines School of Radiologic Technology, 41.6019° N, 93.6118° W
Iowa State University, 42.0267° N, 93.6465° W
Iowa Wesleyan College, 40.9735° N, 91.5532° W
University of Iowa, 41.6627° N, 91.5550° W
Loras College, 42.5029° N, 90.6811° W
Luther College, 43.3148° N, 91.8052° W
Maharishi University of Management, 41.0179° N, 91.9674° W
Mercy College of Health Sciences, 40.7502° N, 73.9868° W
Morningside College, 42.4732° N, 96.3584° W
Mount Mercy University, 42.0027° N, 91.6522° W
University of Northern Iowa, 42.5122° N, 92.4646° W
Northwestern College, 42.9980° N, 96.0582° W
Palmer College of Chiropractic-Davenport, 41.5297° N, 90.5746° W
Saint Ambrose University, 41.5401° N, 90.5816° W
Simpson College, 41.3660° N, 93.5630° W
Upper Iowa University, 42.8410° N, 91.7998° W
Waldorf College, 43.2631° N, 93.6414° W
Wartburg College, 42.7288° N, 92.4832° W
William Penn University, 41.3088° N, 92.6472° W
Baker University, 38.7791° N, 95.1894° W
Benedictine College, 39.8237° N, 95.1365° W
Bethany College, 38.3915° N, 97.6555° W
Bethel College-North Newton, 38.0765° N, 97.3390° W
Central Christian College of Kansas, 38.3675° N, 97.6626° W
Emporia State University, 38.4123° N, 96.1818° W
Fort Hays State University, 38.8823° N, 99.3459° W
Barclay College, 37.2566° N, 99.8606° W
Friends University, 37.6954° N, 97.3404° W
Concorde Career Colleges, 38.9718° N, 94.6989° W
University of Kansas, 38.9582° N, 95.2479° W
Newman University, 37.6533° N, 97.3728° W
Kansas State University, 39.1880° N, 96.5803° W
Kansas Wesleyan University, 38.8251° N, 97.6151° W
Washburn Institute of Technology, 39.0154° N, 95.6814° W
Manhattan Christian College, 39.1834° N, 96.5654° W
McPherson College, 38.3647° N, 97.6603° W
MidAmerica Nazarene University, 38.8049° N, 94.8451° W
Ottawa University-Ottawa, 38.6091° N, 95.2609° W
Pittsburg State University, 37.4138° N, 94.7049° W
University of Saint Mary, 39.2024° N, 94.9324° W
Southwestern College, 37.6478° N, 97.2807° W
Sterling College, 38.2169° N, 98.2062° W
Tabor College, 38.3616° N, 97.1149° W
Wichita State University, 37.7210° N, 97.2934° W
Alice Lloyd College, 37.3425° N, 83.3744° W
Asbury University, 37.8724° N, 84.6853° W
Bellarmine University, 38.2222° N, 85.6861° W
Berea College, 37.5729° N, 84.2931° W
Brescia University, 37.7717° N, 87.1182° W
Campbellsville University, 37.3433° N, 85.3442° W
Centre College, 37.6439° N, 84.7730° W
University of the Cumberlands, 36.7592° N, 84.1609° W
Eastern Kentucky University, 37.7403° N, 84.2962° W
Georgetown College, 38.2111° N, 84.5475° W
Kentucky Mountain Bible College, 37.3574° N, 83.5665° W
Kentucky State University, 38.2178° N, 84.8687° W
Kentucky Wesleyan College, 37.7289° N, 87.1215° W
University of Kentucky, 38.0406° N, 84.5037° W
Kentucky Christian University, 38.3265° N, 82.9995° W
Sullivan College of Technology and Design, 38.2389° N, 85.6675° W
University of Louisville, 38.2158° N, 85.7585° W
Midway College, 38.1528° N, 84.6786° W
Morehead State University, 38.1889° N, 83.4327° W
Murray State University, 36.6114° N, 88.3212° W
Northern Kentucky University, 39.0295° N, 84.4615° W
University of Pikeville, 37.4772° N, 82.5260° W
Spalding University, 38.2404° N, 85.7580° W
Thomas More College, 39.0325° N, 84.5821° W
Transylvania University, 38.0463° N, 84.4963° W
Union College, 36.6798° N, 83.7570° W
Western Kentucky University, 37.0767° N, 86.4689° W
Centenary College of Louisiana, 32.4848° N, 93.7421° W
Dillard University, 29.9945° N, 90.0578° W
Grambling State University, 32.5236° N, 92.7129° W
Louisiana State University-Alexandria, 31.2393° N, 92.4792° W
Louisiana State University and Agricultural & Mechanical College, 30.4133° N, 91.1800° W
Louisiana State University-Shreveport, 32.4491° N, 93.7490° W
Louisiana College, 31.3155° N, 92.4429° W
Louisiana Tech University, 32.5263° N, 92.6473° W
Loyola University New Orleans, 29.9367° N, 90.1207° W
McNeese State University, 30.1638° N, 93.2153° W
University of New Orleans, 30.0382° N, 90.0654° W
Nicholls State University, 29.7969° N, 90.8149° W
University of Louisiana at Monroe, 32.5252° N, 92.0732° W
Northwestern State University of Louisiana, 31.7567° N, 93.0937° W
Our Lady of Holy Cross College, 29.9293° N, 90.0156° W
Our Lady of the Lake College, 30.4691° N, 91.1426° W
Remington College-Lafayette Campus, 30.2164° N, 92.0295° W
Southeastern Louisiana University, 30.5295° N, 90.4795° W
Southern University and A & M College, 30.5366° N, 91.1770° W
Southern University at New Orleans, 30.0109° N, 90.0608° W
University of Louisiana at Lafayette, 30.2039° N, 92.0182° W
Tulane University of Louisiana, 29.9407° N, 90.1207° W
Xavier University of Louisiana, 29.9572° N, 90.0790° W
College of the Atlantic, 44.3904° N, 68.2069° W
Bates College, 44.1044° N, 70.2058° W
Bowdoin College, 43.9072° N, 69.9631° W
Colby College, 44.5625° N, 69.6605° W
Eastern Maine Community College, 44.8483° N, 68.7029° W
Husson University, 44.8312° N, 68.7918° W
University of Maine at Farmington, 44.6552° N, 70.1526° W
University of Maine at Fort Kent, 47.2461° N, 68.5865° W
University of Maine at Machias, 44.7195° N, 67.4692° W
University of Maine, 44.9022° N, 68.6724° W
Maine Maritime Academy, 44.3939° N, 68.7974° W
University of New England, 43.4342° N, 70.6514° W
Northern Maine Community College, 46.9305° N, 68.0277° W
Maine College of Art, 43.6558° N, 70.2593° W
Saint Joseph's College of Maine, 43.8135° N, 70.5285° W
University of Southern Maine, 43.6629° N, 70.2785° W
Thomas College, 44.5355° N, 69.6313° W
Unity College, 44.5895° N, 69.3575° W
University of Baltimore, 39.2926° N, 76.6086° W
Bowie State University, 38.9600° N, 76.7559° W
Capitol College, 39.0432° N, 76.8652° W
Washington Adventist University, 39.0467° N, 77.0079° W
Coppin State University, 39.3136° N, 76.6336° W
Frostburg State University, 39.6492° N, 78.9318° W
Goucher College, 39.3911° N, 76.6309° W
Hood College, 39.4163° N, 77.414° W
Johns Hopkins University, 39.3299° N, 76.6205° W
L'Academie de Cuisine, 38.9442° N, 77.097° W
Loyola University Maryland, 39.3475° N, 76.6195° W
University of Maryland-Baltimore County, 39.2545° N, 76.711° W
University of Maryland-College Park, 38.9869° N, 76.9426° W
Maryland Institute College of Art, 39.2994° N, 76.6169° W
University of Maryland Eastern Shore, 38.2142° N, 75.6921° W
Morgan State University, 39.3467° N, 76.6099° W
Mount St Mary's University, 39.6752° N, 77.3382° W
Ner Israel Rabbinical College, 39.3794° N, 76.6984° W
Notre Dame of Maryland University, 39.3557° N, 76.6067° W
Salisbury University, 38.346° N, 75.5961° W
St Mary's College of Maryland, 38.1953° N, 76.4288° W
St John's College, 38.9827° N, 76.4907° W
Towson University, 39.3936° N, 76.6079° W
Stevenson University, 39.4976° N, 76.6938° W
Washington College, 39.2189° N, 76.0682° W
McDaniel College, 39.5828° N, 77.0073° W
American International College, 42.1127° N, 72.5697° W
Amherst College, 42.3722° N, 72.5186° W
Anna Maria College, 42.3117° N, 71.8227° W
Assabet Valley Regional Technical School, 42.2827° N, 71.5354° W
Assumption College, 42.2966° N, 71.8463° W
Babson College, 42.2920° N, 71.2653° W
Boston Baptist College, 42.3399° N, 71.1011° W
Bay Path College, 42.1232° N, 72.5383° W
Bay State College, 42.3513° N, 71.0697° W
Becker College, 42.2569° N, 71.8429° W
Bentley University, 42.3882° N, 71.2202° W
Berklee College of Music, 42.3458° N, 71.0865° W
Boston College, 42.3359° N, 71.1686° W
The Boston Conservatory, 42.3465° N, 71.0869° W
Boston University, 42.3505° N, 71.1054° W
Brandeis University, 42.3659° N, 71.2590° W
Bridgewater State University, 41.9526° N, 70.9739° W
Signature Healthcare Brockton Hospital School of Nursing, 42.0821° N, 71.0182° W
Laboure College, 42.3102° N, 71.0418° W
Clark University, 42.2495° N, 71.8231° W
Curry College, 42.2435° N, 71.1199° W
Dean College, 42.0854° N, 71.2017° W
Diman Regional Technical Institute, 41.6766° N, 71.1486° W
Emerson College, 42.3513° N, 71.0652° W
Emmanuel College, 42.3414° N, 71.0997° W
Endicott College, 42.5788° N, 70.8183° W
Fisher College, 42.3552° N, 71.0621° W
Fitchburg State University, 42.5897° N, 71.8023° W
Framingham State University, 42.2937° N, 71.4362° W
Gordon College, 42.5772° N, 70.8854° W
Hampshire College, 42.3217° N, 72.5389° W
Harvard University, 42.3770° N, 71.1167° W
College of the Holy Cross, 42.2386° N, 71.8083° W
Lasell College, 42.3414° N, 71.2199° W
Lesley University, 42.3871° N, 71.1181° W
University of Massachusetts-Lowell, 42.6491° N, 71.3162° W
University of Massachusetts-Amherst, 42.3919° N, 72.5263° W
University of Massachusetts-Boston, 42.3135° N, 71.0389° W
MCPHS University, 42.3367° N, 71.1007° W
Massachusetts College of Art and Design, 42.3369° N, 71.0996° W
Massachusetts Institute of Technology, 42.3601° N, 71.0942° W
Massachusetts Maritime Academy, 41.7510° N, 70.6253° W
Merrimack College, 42.6857° N, 71.1247° W
Mount Holyoke College, 42.2565° N, 72.5799° W
Mount Ida College, 42.2872° N, 71.2142° W
School of the Museum of Fine Arts-Boston, 42.3397° N, 71.0958° W
The New England Conservatory of Music, 42.3416° N, 71.0856° W
Newbury College, 42.3162° N, 71.1848° W
Nichols College, 42.0459° N, 71.8734° W
Massachusetts College of Liberal Arts, 42.6972° N, 73.1119° W
Northeastern University, 42.3380° N, 71.0903° W
College of Our Lady of the Elms, 42.1307° N, 72.5595° W
Pine Manor College, 42.3196° N, 71.1589° W
Regis College, 42.3510° N, 71.3091° W
Salem State University, 42.5041° N, 70.8902° W
Simmons College, 42.3391° N, 71.1004° W
Bard College at Simon's Rock, 42.2088° N, 73.3804° W
Smith College, 42.3163° N, 72.6403° W
Southeastern Technical Institute, 31.1803° N, 102.0491° W
Springfield College, 42.1035° N, 72.5558° W
University of Massachusetts-Dartmouth, 41.6269° N, 71.0054° W
Stonehill College, 42.0581° N, 71.0809° W
Suffolk University, 42.3579° N, 71.0611° W
Tufts University, 42.4085° N, 71.1183° W
Wellesley College, 42.2936° N, 71.3059° W
Wentworth Institute of Technology, 42.3370° N, 71.0965° W
Western New England University, 42.1161° N, 72.5199° W
Westfield State University, 42.1318° N, 72.7942° W
Wheaton College, 41.9672° N, 71.1840° W
Wheelock College, 42.3418° N, 71.1065° W
Williams College, 42.7129° N, 73.2031° W
Worcester Polytechnic Institute, 42.2746° N, 71.8068° W
Worcester State University, 42.2681° N, 71.8443° W
Adrian College, 41.8987° N, 84.0592° W
Albion College, 42.2440° N, 84.7452° W
Alma College, 43.3808° N, 84.6728° W
Andrews University, 41.9648° N, 86.3599° W
Michigan Technological University, 47.1150° N, 88.5452° W
University of Michigan-Dearborn, 42.3176° N, 83.2320° W
University of Michigan-Flint, 43.0195° N, 83.6895° W
Northern Michigan University, 46.5602° N, 87.4076° W
Northwood University-Michigan, 43.6299° N, 84.2745° W
Oakland University, 42.6679° N, 83.2082° W
Olivet College, 42.4434° N, 84.9249° W
Kuyper College, 43.0212° N, 85.5927° W
Saginaw Valley State University, 43.5143° N, 83.9624° W
Siena Heights University, 41.9046° N, 84.0163° W
Spring Arbor University, 42.2079° N, 84.5563° W
Finlandia University, 47.1279° N, 88.5892° W
Wayne State University, 42.3591° N, 83.0665° W
Western Michigan University, 42.2837° N, 85.6103° W
Augsburg College, 44.9659° N, 93.2407° W
Bemidji State University, 47.4864° N, 94.8758° W
Bethany Lutheran College, 44.1668° N, 93.9913° W
Bethel University, 45.0582° N, 93.1622° W
Carleton College, 44.4614° N, 93.1560° W
Concordia College at Moorhead, 46.8628° N, 96.7701° W
Concordia University-Saint Paul, 44.9491° N, 93.1565° W
Martin Luther College, 44.3051° N, 94.4713° W
Gustavus Adolphus College, 44.3242° N, 93.9760° W
Hamline University, 44.9650° N, 93.1644° W
Macalester College, 44.9379° N, 93.1685° W
Minnesota State University-Mankato, 44.1451° N, 93.9970° W
Metropolitan State University, 44.9575° N, 93.0745° W
University of Minnesota-Twin Cities, 44.9740° N, 93.2277° W
University of Minnesota-Crookston, 47.7999° N, 96.6072° W
Minneapolis College of Art and Design, 44.9585° N, 93.2736° W
Herzing University-Minneapolis, 45.0563° N, 93.3663° W
Crossroads College, 43.9970° N, 92.4763° W
University of Minnesota-Duluth, 46.8188° N, 92.0843° W
University of Minnesota-Morris, 45.5890° N, 95.8970° W
Minnesota State University-Moorhead, 46.8672° N, 96.7610° W
North Central University, 33.6414° N, 111.8932° W
University of Northwestern-St Paul, 45.0316° N, 93.1686° W
Oak Hills Christian College, 47.4255° N, 94.9026° W
College of Saint Benedict, 45.5601° N, 94.3218° W
Saint Cloud State University, 45.5486° N, 94.1515° W
Saint Johns University, 45.5812° N, 94.3942° W
Saint Mary's University of Minnesota, 44.0448° N, 91.6957° W
St Olaf College, 44.4621° N, 93.1840° W
Crown College, 44.8848° N, 93.7425° W
The College of Saint Scholastica, 46.8164° N, 92.1081° W
University of St Thomas, 44.9431° N, 93.1897° W
St Catherine University, 44.9248° N, 93.1823° W
Rasmussen College-Minnesota, 44.1689° N, 93.9718° W
Southwest Minnesota State University, 44.45444° N, 95.75944° W
Dunwoody College of Technology, 44.9728° N, 93.2901° W
Winona State University, 44.0474° N, 91.6433° W
Alcorn State University, 31.8742° N, 91.1366° W
Belhaven University, 32.3198° N, 90.1693° W
Blue Mountain College, 34.6721° N, 89.0293° W
Delta State University, 33.7454° N, 90.7355° W
Jackson State University, 32.2969° N, 90.2064° W
Millsaps College, 32.3223° N, 90.1780° W
University of Mississippi, 34.3647° N, 89.5384° W
Mississippi University for Women, 33.4912° N, 88.4185° W
Mississippi Valley State University, 33.5127° N, 90.3417° W
Mississippi College, 32.3359° N, 90.3306° W
Mississippi State University, 33.4552° N, 88.7944° W
Pearl River Community College, 30.8443° N, 89.5431° W
Rust College, 34.7765° N, 89.4476° W
University of Southern Mississippi, 31.3299° N, 89.3335° W
Tougaloo College, 32.4048° N, 90.1608° W
William Carey University, 31.3039° N, 89.2923° W
Avila University, 38.9124° N, 94.5915° W
ITT Technical Institute-Earth City, 38.7580° N, 90.4657° W
Cox College, 37.2250° N, 93.5701° W
Calvary Bible College and Theological Seminary, 33.7849° N, 84.3857° W
Central Christian College of the Bible, 39.3960° N, 92.4271° W
Central Methodist University-College of Liberal Arts and Sciences, 39.1489° N, 92.6863° W
University of Central Missouri, 38.7566° N, 93.7405° W
Grand River Technical School, 41.7728° N, 80.8619° W
Columbia Area Career Center, 38.9037° N, 92.3377° W
Conception Seminary College, 40.2402° N, 94.6819° W
Cottey College, 37.8381° N, 94.3701° W
Culver-Stockton College, 40.1283° N, 91.5313° W
Drury University, 37.2202° N, 93.2856° W
Evangel University, 37.2215° N, 93.2641° W
Fontbonne University, 38.6415° N, 90.3159° W
Hannibal-LaGrange University, 39.7292° N, 91.3918° W
Kansas City Art Institute, 39.0467° N, 94.5834° W
Lindenwood University, 38.7859° N, 90.5023° W
Maryville University of Saint Louis, 38.6445° N, 90.5017° W
Midwestern Baptist Theological Seminary, 39.1855° N, 94.5743° W
Missouri Baptist University, 38.6431° N, 90.4617° W
Missouri Southern State University, 37.0959° N, 94.4608° W
Missouri Tech, 37.9537° N, 91.7756° W
Missouri Valley College, 39.10807° N, 93.19044° W
University of Missouri-Columbia, 38.9404° N, 92.3277° W
University of Missouri-Kansas City, 39.0344° N, 94.5834° W
Missouri University of Science and Technology, 37.9537° N, 91.7756° W
University of Missouri-St Louis, 38.7092° N, 90.3083° W
Truman State University, 40.1832° N, 92.5810° W
Northwest Missouri State University, 40.3520° N, 94.8825° W
College of the Ozarks, 36.6163° N, 93.2394° W
Park University, 39.1916° N, 94.6756° W
Rockhurst University, 39.0303° N, 94.5711° W
Rolla Technical Institute, 37.9514° N, 91.7713° W
Saint Louis University, 38.6348° N, 90.2336° W
Saint Louis Christian College, 38.7755° N, 90.2955° W
Southwest Baptist University, 37.5997° N, 93.4095° W
Stephens College, 38.9515° N, 92.3221° W
Southeast Missouri State University, 37.3149° N, 89.5280° W
Missouri State University-Springfield, 37.2006° N, 93.2807° W
Washington University in St Louis, 38.6488° N, 90.3108° W
Webster University, 38.5893° N, 90.3440° W
Westminster College, 41.1199° N, 80.3323° W
William Jewell College, 39.2498° N, 94.4088° W
William Woods University, 38.8605° N, 91.9491° W
Carroll College, 46.6007° N, 112.0387° W
University of Great Falls, 47.4907° N, 111.2708° W
Montana Tech of the University of Montana, 46.01222° N, 112.55778° W
Montana State University, 45.6674° N, 111.0546° W
The University of Montana, 46.8619° N, 113.9846° W
Montana State University-Northern, 48.5409° N, 109.6881° W
Rocky Mountain College, 45.7966° N, 108.5582° W
Clarkson College, 41.2590° N, 95.9780° W
Bryan College of Health Sciences, 40.7973° N, 96.6512° W
Concordia University-Nebraska, 40.9144° N, 97.0896° W
Creighton University, 41.2656° N, 95.9464° W
Doane College-Crete, 40.6230° N, 96.9510° W
Grace University, 41.2264° N, 85.8178° W
Hastings College, 40.5907° N, 98.3746° W
University of Nebraska at Kearney, 40.7012° N, 99.1014° W
Nebraska Methodist College of Nursing & Allied Health, 41.2655° N, 96.0506° W
Midland University, 41.4374° N, 96.4900° W
University of Nebraska at Omaha, 41.2580° N, 96.0107° W
Nebraska Wesleyan University, 40.8388° N, 96.6509° W
University of Nebraska-Lincoln, 40.8202° N, 96.7005° W
College of Saint Mary, 41.2400° N, 96.0219° W
Union College, 42.8191° N, 73.9284° W
York College, 40.7010° N, 73.7961° W
University of Nevada-Las Vegas, 36.1075° N, 115.1435° W
University of Nevada-Reno, 39.5437° N, 119.8142° W
Colby-Sawyer College, 43.4121° N, 71.9780° W
Daniel Webster College, 42.7758° N, 71.5153° W
Dartmouth College, 43.7044° N, 72.2887° W
Franklin Pierce University, 42.7790° N, 72.0555° W
